Root,CurNode,CurTime,NextTime
003172,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005660,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001034,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007070,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
006583,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001162,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005933,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004867,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007071,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
002060,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007072,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007073,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007074,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001058,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007075,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004673,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004674,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007076,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001071,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007077,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004566,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004790,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007078,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007079,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007080,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004439,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
004440,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007081,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005592,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
005629,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007082,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007083,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
007084,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001646,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
001645,-2,YYYY-MM-DD-hh-mm-ss,YYYY-MM-DD-hh-mm-ss
